tw_id,tw_title,tw_first_release_date
21180,進擊的地才,2022-06-03
20735,投機者樂團：愛的鼓勵,2022-04-08
20217,終極狩獵團,2022-01-14
20992,公共圖書館員,2022-05-20
20761,盜夢睡務員,2022-03-25
21172,最後的生存者,2022-05-20
23014,鱷魚歌王,2022-11-04
22714,終極堡壘2,2022-10-21
20486,BJ單身日記,2022-02-11
19318,美國舞孃,2022-07-01
19383,異類崛起,2021-09-24
20384,魔境夢遊,2021-06-18
20192,殲獄行動,2021-12-24
22959,貓爸爸們,2022-11-25
21035,超級救援狗,2023-12-15
20605,藝術恐怖份子 班克斯,2022-03-25
21038,深海獵奇,2022-05-14
20714,圓滾滾藝術家-費爾南多·波特羅,2022-03-25
21040,馬達加斯加：狐猴之島,2022-05-14
21039,最後的冰川,2022-05-14
17975,不可侵犯：溫斯坦性醜聞,2022-01-07
14586,為所應為,2022-10-24
21041,哈勃望遠鏡,2022-05-14
21036,小行星獵人,2023-12-15
21037,回歸野性,2022-05-14
23288,海底世界(國語版),2022-12-05
23287,大熊貓(國語版),2022-12-01
23217,高原上的家屋,2022-12-16
1691,地下社會,2015-05-15
18745,鬼保母,2022-01-07
20692,絕命第19排,2022-03-11
19136,致命最前線,2022-01-14
21173,逃出封鎖線,2022-05-20
18792,心悸效應,2021-09-10
22404,大尉叛逃記,2022-10-21
22524,獵空計畫,2022-11-04
20568,核爆車諾比,2022-04-22
5643,鏡子,2017-06-19
5666,潛行者,2017-06-26
21155,月影歸途,2022-05-20
21221,鬼雙胞,2022-05-20
20414,反恐行動：獨立日,2022-02-18
21380,當女孩戀愛時,2022-07-22
21163,孵魔,2022-05-20
21706,朵貝的愛情繪本,2022-07-15
21536,不看鐵達尼號的男人,2022-06-24
21528,拜金女王的性愛派對,2022-06-24
20457,機遇之歌：數位修復版,2022-08-28
21888,大獲拳勝,2022-08-26
21365,永遠的一天,2022-06-02
21363,鸛鳥踟躕,2022-06-01
15103,燃燒女子的畫像,2019-12-20
21920,蝙狐俠：英雄覺醒,2022-08-26
19696,天才貓奴畫家,2021-12-03
20184,黑盒線索,2022-02-18
19894,鈦,2021-12-24
21995,正發生,2022-09-30
2813,藍色情挑 經典數位修復,2016-07-22
22349,死噬,2022-09-23
2815,紅色情深 經典數位修復,2016-07-22
2814,白色情迷 經典數位修復,2016-07-22
20489,今敏：造夢魔術師,2022-03-18
22243,小獅子王,2022-09-30
20943,親愛的童伴,2022-05-13
20873,友你才精彩,2022-04-15
22183,拆彈倒數30分鐘,2022-09-23
21809,席琳狄翁外傳：愛的力量,2022-07-29
20530,艾菲爾情緣,2022-02-11
21717,失業風暴,2022-07-15
21019,好好說再見,2022-05-27
21514,一屍到底：法屍浪漫,2022-06-17
20454,最後一件晚禮服的秘密,2022-02-04
21863,就在今夜,2022-07-29
3350,玩命光頭,2016-11-04
20300,柏格曼的島,2021-12-25
20485,巴黎夢想家,2022-03-04
20364,天堂計劃,2022-01-07
21046,失速母親,2022-06-02
19858,密室譯戰,2022-02-25
19952,尋子風暴,2022-04-15
20399,我的神秘狼朋友,2022-01-21
21866,春日小戀曲,2022-08-12
21810,降臨節日曆,2022-08-12
2224,雙面薇若妮卡 經典數位修復,2016-07-16
21796,烈火少女（英文版）,2022-07-23
21311,來自巴黎的情書,2022-05-27
22356,消失的達文西,2022-09-23
10963,全面開戰,2018-12-02
4575,四百擊,2016-12-23
21824,一萬個叢林夜,2022-08-12
21862,瑪歌皇后 數位修復版,2022-10-14
22741,書情話慾,2022-11-18
23265,有你就是家,2022-12-16
6630,斷了氣,2017-10-23
21440,越界分身,2022-06-24
20395,情慾告白,2022-01-21
19093,破碎的琴鍵,2021-11-26
20136,夏日之戀,2021-12-12
10331,影像之書,2018-12-14
19731,仰望星空的少年,2021-12-03
20406,豪門媳婦日記,2022-01-14
20963,藍色是最溫暖的顏色,2022-05-27
20169,最後地下鐵,2016-12-23
20124,喀布爾之燕,2022-08-05
20862,屠女養成記,2022-04-15
20177,幸福知音,2022-02-11
23375,美好的早晨,2022-12-30
20712,安妮詩快跑,2022-05-20
22650,真實世界,2022-10-14
4469,阿爾發城,2016-12-05
22740,抓狂養老院,2022-11-11
19224,狂人皮耶洛,1965-11-05
22173,她和她的小主廚們,2022-09-16
22756,賴活,2022-10-26
23275,芳名卡門,2022-12-16
23274,我所知道她的二三事,2022-12-16
23386,男性，女性,2022-12-16
20451,執愛不悔,2022-02-18
21993,夜色中的她,2022-08-26
20803,破膽三次,2022-04-15
22901,索蘭琪的少女心事,2022-11-04
17254,追憶似水年華 數位修復版,2022-05-28
21355,往事追憶錄,2022-05-28
21356,蓋爾芒特家情事,2022-06-01
938,衡量一個人,2015-11-20
21660,一路上有妳,2022-07-01
20928,築愛巴黎,2022-04-15
21360,塞瑟島之旅,2022-05-29
21366,希臘二部曲：時光灰燼,2022-05-28
21359,獵人,2022-05-28
21364,尤里西斯生命之旅,2022-06-03
21361,養蜂人,2022-05-30
21362,霧中風景,2022-06-03
19922,夢想裁縫師,2021-12-17
21357,三六年的歲月,2022-05-29
21358,流浪藝人,2022-05-29
20579,平行母親,2022-03-04
20596,丟包大作戰,2022-03-18
20289,瘋狂競賽片,2022-02-25
19857,雙子謀殺案：白城之寂,2022-04-01
23122,放牛班足球隊,2022-11-25
23198,湯恩與劍客汪汪隊,2022-12-23
22893,遺屍物,2022-11-04
19205,蝸牛之家,2021-09-03
18538,瀕臨崩潰邊緣的女人 經典數位修復,2022-02-04
18469,慾望法則 經典數位修復,2022-02-04
18737,我造了什麼孽 經典數位修復,2022-02-04
20527,櫻櫻大日本,2022-02-25
18761, 修女夜難熬 經典數位修復,2022-02-04
20941,米其林母子檔,2022-09-02
23188,梵天神器：滅世開端,2022-12-02
21709,偉大的印度廚房,2022-07-08
20903,天堂電影院,2022-04-15
23338,鬼搖靈2：陰語陣陣,2022-12-23
21307,娜娜：逝水年華,2022-07-08
20652,懾影屍,2022-06-02
20962,忌妒的藍圖,2022-06-24
20952,親愛的母親,2022-07-01
20191,天菜特警,2021-12-10
20728,何處是我朋友的家？,2022-04-15
21021,櫻桃的滋味 數位修復版,2022-05-20
20804,橄欖樹下的情人,2022-04-22
20758,生生長流,2022-04-15
20632,我不是英雄,2022-05-13
21032,風帶著我來 數位修復版,2022-05-20
22196,贖罪風暴,2022-10-07
4035,禁止下錨+海中網+妹妹+庭中有奇樹,2022-04-23
20740,沉默呼聲,2022-08-12
20201,麥特與麥斯,2021-12-30
21838,未來犯罪,2022-08-05
19092,親情解鎖,2021-09-17
20386,他奶奶的變裝皇后,2022-01-21
20683,藥命回憶,2022-04-29
22307,怪胎英雄：奇克探險記,2022-09-23
17368,鬼滅之刃劇場版 無限列車篇,2020-10-30
20591,劇場版 咒術迴戰 0,2022-02-24
21991,航海王劇場版 : 紅髮歌姬,2022-08-13
21383,名偵探柯南 萬聖節的新娘,2022-06-30
19722,刀劍神域劇場版 –Progressive- 無星夜的詠嘆調 ,2021-11-12
22751,刀劍神域劇場版 –Progressive- 陰沉薄暮的詼諧曲,2022-11-01
21864,蠟筆小新：幽靈忍者珍風傳,2022-08-04
17110,紫羅蘭永恆花園電影版,2020-09-30
13730,普羅米亞,2019-08-16
19157,蠟筆小新：謎案！天下春日部學院的怪奇事件,2021-09-24
23197,關於我轉生變成史萊姆這檔事劇場版 紅蓮之絆篇,2022-12-06
21385,餘命10年,2022-06-10
20610,神隱少女(日文版),2022-09-08
19389,我的英雄學院劇場版：世界英雄任務,2021-10-29
21718,角落小夥伴電影版：藍色月夜的魔法之子(日語版),2022-07-22
9977,龍貓,2021-01-29
23148,通往夏天的隧道，再見的出口,2022-12-02
22194,七龍珠超：超級英雄(日文版),2022-09-03
20879,電影版 如果30歲還是處男，似乎就能成為魔法師,2022-04-08
21625,電影哆啦A夢：大雄的宇宙小戰爭 2021(日語版),2022-07-15
22232,新‧超人力霸王,2022-09-13
16420,藍色恐懼：4K數位修復版,2020-07-17
20279,在車上,2021-12-24
22878,天空之城(日文版),2022-11-25
22020,電影版 搖曳露營△ ,2022-09-16
19787,嵐 5x20演唱會電影～回憶全記錄～,2021-11-03
23365,輝夜姬想讓人告白－永不結束的初吻,2022-12-23
21928,擅長捉弄人的高木同學劇場版,2022-09-02
21973,劇場版 五等分的新娘,2022-08-26
22962,即使，這份戀情今晚會從世上消失,2022-11-11
22380,破案天才伽利略：沉默的遊行,2022-09-23
20405,《屁屁偵探: 舒芙蕾島的秘密》,2022-01-21
20057,Fate/Grand Order -終局特異點 冠位時間神殿所羅門-,2021-11-26
20264,名偵探柯南：大怪獸哥梅拉VS假面超人,2022-01-07
17129,《少女與戰車 最終章》第1+2話,2020-10-07
16758,東京教父:4K數位修復版,2020-08-19
20105,寶可夢：皮卡丘與可可的冒險 (日文版),2021-12-10
19895,我讓最想被擁抱的男人給威脅了 劇場版～西班牙篇～,2021-11-23
19687,偶然與想像,2021-11-26
21310,劇場版FREE! 男子游泳部–the Final Stroke–後篇,2022-01-21
22788,迴咒師ー塩子的誕生,2022-11-04
19000,《少女與戰車 最終章》 第3話,2021-11-19
13292,劇場版 歌之☆王子殿下♪真愛KINGDOM,2019-06-14
19766,假面飯店2：假面之夜 ,2021-10-28
23463,灌籃高手 THE FIRST SLAM DUNK,2022-12-31
20415,劇場版FREE! 男子游泳部–the Final Stroke–前篇,2022-01-21
23115,劇場版 歌之☆王子殿下♪ 真愛ST☆RISH TOURS,2022-11-18
22230,犬王,2022-10-21
20535,電影版 昨日的美食,2022-02-18
21065,電影版 99.9 不可能的翻案,2022-05-27
20355,讓我聽見愛的歌聲,2022-02-11
20762,電影版 DEEMO 櫻色旋律 —你所彈奏的琴音 至今仍在迴響—,2022-03-25
20186,魔仿犯,2021-12-10
22512,極速甩尾,2022-10-14
20669,魔法水果籃 -前奏曲-,2022-03-18
21237,牛首村,2022-05-20
21941,北齋：浮世繪傳奇,2022-08-26
21790,特『刀劍亂舞-花丸-』～雪之卷～,2022-07-29
22003,電影版 奇巧計程車：撲朔謎林,2022-08-19
18774,花束般的戀愛,2021-07-16
23249,天使降臨到我身邊！珍貴的朋友,2022-12-16
20780,假面騎士劇場版　對決！超越新世代,2022-04-08
22408,特『刀劍亂舞-花丸-』～華之卷～(第一周),2022-09-23
22167,特『刀劍亂舞-花丸-』～月之卷～,2022-08-26
18319,青春電幻物語：數位修復版,2021-04-01
20744,急急復雞雞,2022-04-22
20684,尋人啟弒,2022-06-17
22114,劇場版 超時空要塞F~虛空歌姬~,2022-09-07
20170,GIVEN~被贈與的未來 劇場版：反面的存在,2021-12-09
19852,詛咒,2022-02-04
20766,愛國女子─紅武士道,2022-04-08
20715,接棒家族,2022-03-11
20631,燃燒的劍,2022-04-29
22511,信用詐欺師JP：英雄篇,2022-10-10
22229,劇場版 超時空要塞F~戀離飛翼~,2022-10-21
20229,電影 K-ON！輕音部,2021-12-17
21058,輪到你了 劇場版 ,2022-05-13
20541,那些得不到保護的人,2022-04-08
22005,如月車站,2022-08-19
21537,螢火蟲之墓,2022-07-08
22378,電影版 後空翻少年!!,2022-10-12
19264,鹿王,2022-05-13
19896,超慄方殺陣,2021-11-19
22174,極道主夫 電影版,2022-09-16
20993,漁港的肉子,2022-05-13
14034,今天也要用便當出擊,2019-09-12
21441,再見了，橡果兄弟！－奇蹟的暑假－,2022-07-25
22197,萌男友是柑橘色,2022-09-16
20374,花與愛麗絲：數位修復版,2022-01-28
20520,夏日幽靈,2022-01-28
21627,xxxHOLiC 次元魔女,2022-08-19
20047,青春特調蜂蜜檸檬蘇打,2021-12-03
21933,末日救世主,2022-09-02
22960,天才狂歡派對：首部曲,2022-11-01
21710,婚顧女王,2022-07-15
21929,七五計劃,2022-09-08
9952,睡著也好醒來也罷,2018-09-21
21589,怪獸死了怎麼辦,2022-06-24
21707,太陽與波麗露,2022-07-08
20301,鳩的擊退法,2022-01-07
22350,Ｎ号棟鬧鬼,2022-09-21
22801,大逃殺 4K數位修復版,2022-11-04
22431,春心萌動的老屋緣廊,2022-11-11
23040,葬禮,2022-11-25
22504,麵包超人電影版：多洛林與妖怪嘉年華,2022-10-07
23041,蒲公英,2022-12-02
22228,河畔小日子,2022-10-03
20918,決戰星期天,2022-04-29
22474,流浪之月,2022-10-28
18228,歡樂時光（上）,2021-02-26
18705,燕尾蝶：數位經典版,2021-07-14
20529,垃圾頭,2022-02-18
22961,天才狂歡派對：最終章,2022-11-28
20552,魔神英雄傳 七魂的龍神丸 -再會-,2022-04-22
23363,劇場版 弦音 ─初始的一射─,2022-12-30
23384,TANG,2022-12-30
22508,救救旱鴨子,2022-10-21
18231,歡樂時光（下）,2021-02-26
20125,電影版 狂賭之淵2：絕體絕命俄羅斯輪盤,2021-12-17
23401,邪惡的孩子,2022-12-30
20101,沒說出口的殺人告白,2021-11-26
23187,還有愛的日子,2022-12-02
23107,性徒,2022-11-18
20779,妖獸都市1987 劇場版,2022-04-08
20983,鳶,2022-04-29
23192,線，畫出的我,2022-12-23
20919,第一人夫,2022-05-20
20653,輝耀姬物語(日文版),2014-06-13
21386,熊貓家族+熊貓家族 - 雨中的馬戲團,2022-07-08
21354,龍馬！新生網球王子劇場版（決勝版）,2022-06-24
21382,龍馬！新生網球王子劇場版（榮耀版）,2022-06-24
20696,Fate/stay night - 無限劍製,2022-03-11
19788,劇場版信號：長期未解決事件搜查班,2021-12-30
21315,偷情連載中,2022-07-22
20936,兒時的點點滴滴(日文版),2022-07-08
21393,噪音,2022-06-02
22503,調職令是警察樂隊！,2022-10-28
21350,劇場版「黃金拼圖Thank you！！」,2022-06-02
20865,海岬的迷途之家,2022-04-22
21020,平成狸合戰 (日文版),2022-07-08
20295,月影,2022-01-21
23264,魔幻時刻,2008-12-31
20193,四季拉麵物語,2021-12-24
22532,魚之子,2022-12-09
20951,露草,2022-06-10
19061,總編的復仇,2021-11-05
22882,好想傳達你的聲音,2022-12-09
22244,我想被高中女生殺死,2022-09-23
21624,只是現在不走運而已,2022-07-22
23114,修羅天魔~骷髏城之七人．極 （新感線舞台劇）,2022-11-25
18685,告白,2022-04-29
20699,聖地X,2022-04-15
18812,瀧澤歌舞伎 ZERO 2020 THE MOVIE,2021-07-27
22421,戀之光 ,2022-10-14
22902,錯位的青春,2022-11-18
22802,幽靜的山荷葉,2022-11-11
22533,每天上班總是累得要死,2022-10-21
19954,由宇子的天秤,2021-12-17
20726,如果30歲還是處男，似乎就能成為魔法師【後篇】,2022-06-12
20759,對某飛行員的追憶,2022-04-15
