id,gender,name,original_name,known_for_department
103390,1,Aisha Dee,Aisha Dee,Acting
3407602,1,Emily De Margheriti,Emily De Margheriti,Acting
2101968,1,Hannah Barlow,Hannah Barlow,Directing
1759490,2,Daniel Monks,Daniel Monks,Acting
2611199,1,Yerin Ha,Yerin Ha,Acting
3326960,0,Jeff Lai,Jeff Lai,Acting
3326961,0,Ariel Ng,Ariel Ng,Acting
3326962,0,Dickens Ko,Dickens Ko,Acting
3113066,0,Ismail Adouab,Ismail Adouab,Acting
3113067,0,Nouhaila Arif,Nouhaila Arif,Acting
3113068,0,Samah Baricou,Samah Baricou,Acting
3113069,0,Abdelilah Basbousi,Abdelilah Basbousi,Acting
3113070,0,Anas Basbousi,Anas Basbousi,Acting
1439969,2,Benson Jack Anthony,Benson Jack Anthony,Acting
2309880,1,Frances Berry,Frances Berry,Acting
2159489,2,Christian Charisiou,Christian Charisiou,Acting
79692,1,Justine Clarke,Justine Clarke,Acting
1779883,0,Noel Cleary,Noel Cleary,Crew
2094251,2,Bruno Di Chiara,Bruno Di Chiara,Acting
2316734,0,Marzia Pellegrino,Marzia Pellegrino,Acting
2576659,0,Gaia Lo Vecchio,Gaia Lo Vecchio,Acting
199486,1,Elyse Levesque,Elyse Levesque,Acting
23524,1,Veronica Ferres,Veronica Ferres,Acting
229400,1,Gina Stiebitz,Gina Stiebitz,Acting
239793,2,Vladimir Burlakov,Vladimir Burlakov,Acting
1245709,1,Tiffany Hsu Wei-Ning,許瑋甯,Acting
1535053,2,Julian Maroun,Julian Maroun,Acting
1253190,1,Bettina Kenney,Bettina Kenney,Acting
1900234,1,Margot Nuccetelli,Margot Nuccetelli,Acting
2746828,1,Elisa Boyd,Elisa Boyd,Acting
3040744,0,James Dyke,James Dyke,Acting
42930,1,Anna Brüggemann,Anna Brüggemann,Acting
1164934,2,Alexander Khuon,Alexander Khuon,Acting
133264,1,Monika Anna Wojtyllo,Monika Anna Wojtyllo,Acting
1295654,1,Rike Eckermann,Rike Eckermann,Acting
40501,2,Mark Waschke,Mark Waschke,Acting
684,2,Tom Schilling,Tom Schilling,Acting
1111158,2,Albrecht Schuch,Albrecht Schuch,Acting
1075020,1,Saskia Rosendahl,Saskia Rosendahl,Acting
20266,2,Michael Wittenborn,Michael Wittenborn,Acting
1815172,1,Petra Kalkutschke,Petra Kalkutschke,Acting
7827,1,Maren Eggert,Maren Eggert,Acting
221018,2,Dan Stevens,Dan Stevens,Acting
7152,1,Sandra Hüller,Sandra Hüller,Acting
5853,2,Hans Löw,Hans Löw,Acting
225233,0,Wolfgang Hübsch,Wolfgang Hübsch,Acting
3872,2,Daniel Brühl,Daniel Brühl,Acting
15486,2,Peter Kurth,Peter Kurth,Acting
1328488,1,Aenne Schwarz,Aenne Schwarz,Acting
1080195,1,Vicky Krieps,Vicky Krieps,Acting
5649,2,Christoph Maria Herbst,Christoph Maria Herbst,Acting
1859,1,Christiane Paul,Christiane Paul,Acting
55882,1,Jytte-Merle Böhrnsen,Jytte-Merle Böhrnsen,Acting
17373,2,Jürgen Vogel,Jürgen Vogel,Acting
1253977,1,Bettina Lamprecht,Bettina Lamprecht,Acting
3319869,1,Avan Jamal,Avan Jamal,Acting
3319870,0,Vania Salar,Vania Salar,Acting
3068939,2,Hussein Hassan Ali,Hussein Hassan Ali,Acting
1867407,2,Shwan Attoof,Shwan Attoof,Acting
3476977,0,Hushyar Nerwayi,Hushyar Nerwayi,Acting
2761814,2,Omer Perelman Striks,Omer Perelman Striks,Acting
3199078,2,Asaf Jonas,Asaf Jonas,Acting
3199079,0,Nadia Kucher,Nadia Kucher,Acting
2897490,0,Igal Reznik,Igal Reznik,Acting
3199080,0,Gal Ben Amra,Gal Ben Amra,Acting
931999,1,Simone Spoladore,Simone Spoladore,Acting
562363,2,Javier Drolas,Javier Drolas,Acting
1629556,2,Felipe Rocha,Felipe Rocha,Acting
1955049,2,Gabriel Stauffer,Gabriel Stauffer,Acting
1265054,1,Martha Nowill,Martha Nowill,Acting
104243,2,Florian David Fitz,Florian David Fitz,Acting
16808,2,Matthias Schweighöfer,Matthias Schweighöfer,Acting
146057,1,Miriam Stein,Miriam Stein,Acting
6263,1,Hannelore Elsner,Hannelore Elsner,Acting
67546,2,Wolfgang Stumph,Wolfgang Stumph,Acting
15480,1,Sabine Timoteo,Sabine Timoteo,Acting
2918039,2,Wanja Valentin Kube,Wanja Valentin Kube,Acting
1432056,1,Jule Hermann,Jule Hermann,Acting
1274229,1,Marthe Schneider,Marthe Schneider,Acting
679,1,Franka Potente,Franka Potente,Acting
677,2,Moritz Bleibtreu,Moritz Bleibtreu,Acting
1081,2,Herbert Knaup,Herbert Knaup,Acting
1082,1,Nina Petri,Nina Petri,Acting
1083,2,Armin Rohde,Armin Rohde,Acting
67323,1,Margherita Buy,Margherita Buy,Acting
59270,2,Riccardo Scamarcio,Riccardo Scamarcio,Acting
128748,1,Alba Rohrwacher,Alba Rohrwacher,Acting
73475,2,Adriano Giannini,Adriano Giannini,Acting
1570257,1,Elena Lietti,Elena Lietti,Acting
1395660,2,Alessandro Borghi,Alessandro Borghi,Acting
69489,1,Jasmine Trinca,Jasmine Trinca,Acting
1123262,1,Greta Scarano,Greta Scarano,Acting
131624,2,Vinicio Marchioni,Vinicio Marchioni,Acting
1482131,1,Linda Caridi,Linda Caridi,Acting
65354,1,Yang Kuei-mei,楊貴媚,Acting
71171,2,Lee Kang-sheng,Lee Kang-sheng,Acting
150345,2,Miao Tian,Miao Tian,Acting
150475,0,Hui-Chin Lin,Hui-Chin Lin,Production
150474,1,Lin Kun-huei,Lin Kun-huei,Acting
2166,2,Sergio Castellitto,Sergio Castellitto,Acting
82923,1,Bérénice Bejo,Bérénice Bejo,Acting
1589101,1,Matilda De Angelis,Matilda De Angelis,Acting
1605204,2,Clementino,Clementino,Acting
5683,1,Sandra Milo,Sandra Milo,Acting
931963,1,Blu Yoshimi,Blu Yoshimi,Acting
79291,2,Luciano Cáceres,Luciano Cáceres,Acting
2280178,1,Sofia Kappel,Sofia Kappel,Acting
1908347,1,Zelda Morrison,Zelda Morrison,Acting
139422,2,Tee Reel,Tee Reel,Acting
1903886,1,Evelyn Claire,Evelyn Claire,Acting
1202732,2,Chris Cock,Chris Cock,Acting
238512,2,Morten Harket,Morten Harket,Acting
