MovieId,Name,production_country,tw_first_release_date
20460,鬼電梯,越南,2022-02-18 00:00:00
20975,越驚,越南,2022-04-22 00:00:00
20929,祖怨,越南,2022-04-15 00:00:00
22309,迷霧中的孩子,越南,2022-09-23 00:00:00
19408,逃出奧斯威辛,斯洛伐克,2021-10-01 00:00:00
22895,喬治亞天空下 ,喬治亞,2022-11-18 00:00:00
20336,慕夏狂潮：從崛起到永恆,捷克,2022-01-14 00:00:00
19627,勇鼠闖天堂,捷克,2022-02-04 00:00:00
21740,浪浪回家路,捷克,2022-07-22 00:00:00
21626,野蠻人入侵,馬來西亞,2022-07-15 00:00:00
18629,亞馬遜守護者：安珀傳奇(英語版),秘魯,2022-01-13 00:00:00
21223,格列佛遊記：重返小人國,烏克蘭,2022-08-26 00:00:00
22198,沒有煙硝的日子,烏克蘭,2022-12-29 00:00:00
20265,2gether電影版：只因我們天生一對,泰國,2021-12-24 00:00:00
21115,猛鬼大學：第2學期,泰國,2022-05-13 00:00:00
21436,鬼單眼,泰國,2022-07-22 00:00:00
20654,凝弒,泰國,2022-03-11 00:00:00
23289,魔蟲禁區,泰國,2022-12-16 00:00:00
21210,淒厲人僧：卡到陰,泰國,2022-05-20 00:00:00
23085,愛情需要編劇,泰國,2022-11-18 00:00:00
21066,愛在暹邏：數位經典版,泰國,2022-05-18 00:00:00
20314,記憶,泰國,2021-12-25 00:00:00
20413,波米叔叔的前世今生,泰國,2010-11-26 00:00:00
22110,超級蜥蜴王,泰國,2022-09-02 00:00:00
20365,世界上最爛的人,挪威,2022-01-01 00:00:00
21974,愛重奏,挪威,2022-09-02 00:00:00
22265,詭孩,挪威,2022-10-28 00:00:00
19764,忍者寶寶,挪威,2022-01-14 00:00:00
20672,秋月,香港,2022-03-06 00:00:00
19859,梅艷芳,香港,2021-11-12 00:00:00
19159,怒火,香港,2021-10-22 00:00:00
20822,神探大戰,香港,2022-08-19 00:00:00
16476,麥路人,香港,2020-09-17 00:00:00
21732,花樣年華 4K數位修復版,香港,2022-09-16 00:00:00
7331,春光乍洩,香港,1997-06-07 00:00:00
20716,重慶森林 4K數位修復版,香港,2022-04-22 00:00:00
18149,墮落天使  4K數位修復版,香港,2021-02-19 00:00:00
9993,阿飛正傳,香港,1990-12-22 00:00:00
20763,胭脂扣,香港,1987-12-05 00:00:00
22420,飯戲攻心,香港,2022-09-23 00:00:00
22876,智齒,香港,2022-12-23 00:00:00
20565,少年,香港,2022-04-08 00:00:00
20343,G風暴,香港,2020-01-30 00:00:00
20702,阮玲玉,香港,1991-11-29 00:00:00
20741,英雄本色,香港,1986-08-08 00:00:00
21747,闔家辣,香港,2022-07-22 00:00:00
10916,霸王別姬(數位修復版),香港,1993-12-10 00:00:00
22182,媽的星寵兒,香港,2022-09-02 00:00:00
21786,七人樂隊,香港,2022-07-22 00:00:00
22631,憂鬱之島,香港,2022-11-20 00:00:00
21047,邊緣行者,香港,2022-05-06 00:00:00
20697,秋天的童話,香港,1987-07-03 00:00:00
21801,繼園臺七號,香港,2022-09-21 00:00:00
23391,正義迴廊,香港,2022-12-30 00:00:00
21812,美少年之戀,香港,2022-09-23 00:00:00
21517,喜歡妳是妳,香港,2022-07-15 00:00:00
22231,一路瞳行,香港,2022-09-08 00:00:00
23317,無間道,香港,2022-12-30 00:00:00
22434,失衡凶間,香港,2022-10-07 00:00:00
22085,玫瑰的故事,香港,2022-09-23 00:00:00
21978,流金歲月,香港,2022-09-23 00:00:00
22435,心裏美,香港,2022-09-30 00:00:00
20671,愛在他鄉的季節,香港,2022-03-05 00:00:00
21123,海上花,香港,2022-09-23 00:00:00
20673,遇上1967的女神,香港,2022-03-12 00:00:00
23367,無間道II,香港,2022-12-30 00:00:00
23349,無間道III：終極無間,香港,2022-12-30 00:00:00
23339,過時·過節,香港,2022-12-22 00:00:00
20410,出租女友,香港,2022-01-14 00:00:00
22758,流浪者之歌,英國,2022-10-21 00:00:00
22755,卡拉之歌,英國,2022-10-21 00:00:00
20515,時代革命,英國,2022-02-25 00:00:00
15965,末代皇帝（數位修復版）,英國,1988-04-23 00:00:00
21389,們,英國,2022-05-31 00:00:00
7689,發條橘子,英國,2017-12-29 00:00:00
22525,瘋狂富作用,英國,2022-10-07 00:00:00
21017,鯊顫,英國,2022-05-13 00:00:00
20802,餐廳失控夜,英國,2022-04-01 00:00:00
22117,士兵與軍官,英國,2022-09-02 00:00:00
21312,伊恩•麥克連 80歲個人秀巡迴演出（英國國家劇院現場）,英國,2022-06-11 00:00:00
20693,極限逃殺,英國,2022-03-18 00:00:00
22611,如果驢知道,英國,2022-12-02 00:00:00
19272,算牌手,英國,2021-09-17 00:00:00
21758,法蘭克札帕：從前衛到當代,英國,2022-07-29 00:00:00
21906,我們的英搖時光,英國,2022-08-12 00:00:00
20076,愛上費加洛,英國,2021-12-17 00:00:00
21268,羅密歐與茱麗葉（英國國家劇院現場）,英國,2022-06-10 00:00:00
18530,裸體午餐,英國,1992-03-14 00:00:00
23342,初步舉證,英國,2022-12-20 00:00:00
14480,超速性追緝,英國,1996-10-25 00:00:00
21515,利奥波德城（英國國家劇院現場）,英國,2022-06-14 00:00:00
22260,性愛成癮的男人,英國,2022-09-23 00:00:00
22407,丹尼爾約翰斯頓：魔鬼詩篇,英國,2022-09-23 00:00:00
14021,遮蔽的天空,英國,2022-01-21 00:00:00
20827,瑪莉娜的512小時,英國,2022-04-15 00:00:00
20418,波西米亞人（英國皇家歌劇院）,英國,2022-02-10 00:00:00
20519,馬克白（英國皇家歌劇院）,英國,2022-02-10 00:00:00
11227,山那邊的青稞田,英國,2019-01-18 00:00:00
23320,夢迴西藏：軍官與達賴喇嘛,英國,2022-12-30 00:00:00
21869,偷香 數位修復版,英國,2022-08-05 00:00:00
20337,曼儂‧雷斯科（英國皇家歌劇院）,英國,2022-02-10 00:00:00
22880,大製片家,英國,2022-11-25 00:00:00
20291,毫無意義,英國,2022-01-07 00:00:00
20293,兩情世界,英國,2022-01-07 00:00:00
20292,打擊驚魂,英國,2022-01-07 00:00:00
20290,小心女人,英國,2022-01-07 00:00:00
21117,捍衛戰士: 獨行俠,美國,2022-05-23 00:00:00
20189,蜘蛛人：無家日,美國,2021-12-15 00:00:00
23322,阿凡達：水之道,美國,2022-12-16 00:00:00
21161,侏羅紀世界: 統霸天下,美國,2022-06-08 00:00:00
19885,永恆族,美國,2021-11-03 00:00:00
23049,黑豹 2：瓦干達萬歲,美國,2022-11-09 00:00:00
21054,奇異博士2：失控多重宇宙,美國,2022-05-04 00:00:00
21741,雷神索爾：愛與雷霆,美國,2022-07-06 00:00:00
20277,金牌特務：金士曼起源,美國,2021-12-30 00:00:00
19639,猛毒2：血蜘蛛,美國,2021-10-13 00:00:00
19182,沙丘,美國,2021-09-16 00:00:00
