MovieId,Year,Amount,Tickets,TotalAmount,TotalTickets,Rate,TheaterCount,Created_time,updated_time,start_date,end_date
21222,2022,3263526.0,13818.0,6498173.0,27450.0,0.0089280221,65.0,2025-01-31 14:03:39.485,2025-01-31 14:03:39.485,2022-05-23,2022-05-29
21222,2022,2334776.0,9906.0,8832949.0,37356.0,-0.2845848325,65.0,2025-01-31 14:03:39.485,2025-01-31 14:03:39.485,2022-05-30,2022-06-05
21222,2022,1118451.0,4671.0,9951400.0,42027.0,-0.5209600407,64.0,2025-01-31 14:03:39.485,2025-01-31 14:03:39.485,2022-06-06,2022-06-12
21222,2022,646056.0,2704.0,10597456.0,44731.0,-0.4223653964,51.0,2025-01-31 14:03:39.485,2025-01-31 14:03:39.485,2022-06-13,2022-06-19
21222,2022,235079.0,1018.0,10832535.0,45749.0,-0.6361321619,20.0,2025-01-31 14:03:39.485,2025-01-31 14:03:39.485,2022-06-20,2022-06-26
21222,2022,119422.0,512.0,10951957.0,46261.0,-0.4919920537,10.0,2025-01-31 14:03:39.485,2025-01-31 14:03:39.485,2022-06-27,2022-07-03
21222,2022,16400.0,70.0,10968357.0,46331.0,-0.8626718695000001,5.0,2025-01-31 14:03:39.485,2025-01-31 14:03:39.485,2022-07-04,2022-07-10
21222,2022,9490.0,36.0,10977847.0,46367.0,-0.4213414634,1.0,2025-01-31 14:03:39.485,2025-01-31 14:03:39.485,2022-07-11,2022-07-17
21222,2022,6410.0,26.0,10984257.0,46393.0,-0.3245521602,1.0,2025-01-31 14:03:39.485,2025-01-31 14:03:39.485,2022-07-18,2022-07-24
21222,2022,880.0,4.0,10985137.0,46397.0,-0.8627145086,1.0,2025-01-31 14:03:39.485,2025-01-31 14:03:39.485,2022-07-25,2022-07-31
21858,2022,5307633.0,21639.0,5307633.0,21639.0,0.0,69.0,2025-01-31 14:03:39.499,2025-01-31 14:03:39.499,2022-07-25,2022-07-31
21858,2022,2726856.0,11250.0,8034489.0,32889.0,-0.486238781,69.0,2025-01-31 14:03:39.499,2025-01-31 14:03:39.499,2022-08-01,2022-08-07
21858,2022,1000577.0,4201.0,9035066.0,37090.0,-0.6330656991,69.0,2025-01-31 14:03:39.499,2025-01-31 14:03:39.499,2022-08-08,2022-08-14
