Year,MovieId,Name,id,imdb_id,origin_country_first,runtime,budget,revenue
2022,21741,雷神索爾：愛與雷霆,616037,tt10648342,US,119,250000000,760900000
2022,21741,雷神索爾：愛與雷霆,616037,tt10648342,US,119,250000000,760900000
2022,20277,金牌特務：金士曼起源,476669,tt6856242,US,131,100000000,125897478
2022,19639,猛毒2：血蜘蛛,580489,tt7097896,US,97,110000000,506863592
2022,19182,沙丘,438631,tt1160419,US,155,165000000,407573628
2022,19150,尚氣與十環傳奇,566525,tt9376612,US,132,150000000,432243292
2022,22676,黑亞當,436270,tt6443346,US,125,200000000,393452111
2022,20587,蝙蝠俠,414906,tt1877830,US,176,185000000,772319315
2022,20863,怪獸與鄧不利多的秘密,338953,tt4123432,US,142,200000000,407200000
2022,21777,子彈列車,718930,tt12593682,US,126,90000000,239300000
2022,20539,秘境探險,335787,tt1464335,US,116,120000000,407141258
2022,18984,脫稿玩家,550988,tt6264654,US,115,110000000,331526598
2022,20828,媽的多重宇宙,545611,tt6710474,US,140,25000000,139200000
2022,20215,駭客任務：復活,624860,tt10838180,US,147,190000000,156497322
2022,20484,月球隕落,406759,tt5834426,US,131,146000000,67319703
2022,19984,惡靈古堡首部曲：拉昆市,460458,tt6920084,US,107,25000000,41914915
2022,20786,魔比斯,526896,tt5108870,US,104,75000000,167635712
2022,18891,黑寡婦,497698,tt3480822,US,134,200000000,379751131
2022,21422,巴斯光年(英文版),718789,tt10298810,US,105,200000000,226425420
2022,20470,尼羅河謀殺案,505026,tt7657566,US,127,90000000,137307235
2022,20050,魔法滿屋,568124,tt2953050,US,102,135000000,261289554
2022,22373,微笑,882598,tt15474916,US,116,17000000,217408513
2022,20210,歡樂好聲音 2,438695,tt6467266,US,110,85000000,408402685
2022,20748,失落謎城,752623,tt13320622,US,112,74000000,192907684
2022,21742,雷神索爾：愛與雷霆,616037,tt10648342,US,119,250000000,760900000
2022,21742,雷神索爾：愛與雷霆,616037,tt10648342,US,119,250000000,760900000
2022,20580,劫命救護,763285,tt4998632,US,136,40000000,52303589
2022,21821,孤兒怨2：最黑暗的過去,760161,tt11851548,CA,99,10000000,9572765
2022,20212,GUCCI：豪門謀殺案,644495,tt11214590,US,157,75000000,153235995
2022,20635,壞蛋聯盟,629542,tt8115900,US,100,80000000,250162278
2022,18983,汪汪隊立大功電影版,675445,tt11832046,US,86,26000000,144327371
