tw_id,reference_year,tw_release_days,reference_year_amount,reference_year_tickets
21117,2022-01-01,222.0,734571164,2682750
20189,2022-01-01,154.0,92888576,368737
23322,2022-01-01,18.0,426983292,1308325
21161,2022-01-01,136.0,334165457,1278551
19885,2022-01-01,69.0,387467,4893
23049,2022-01-01,53.0,249328389,923471
21054,2022-01-01,145.0,244509640,931021
21741,2022-01-01,114.0,225303582,862955
20277,2022-01-01,132.0,120566059,481083
19639,2022-01-01,43.0,202200,2918
19182,2022-01-01,78.0,653116,3668
19468,2022-01-01,44.0,372403,4745
19150,2022-01-01,42.0,220252,2178
22676,2022-01-01,72.0,148174405,574003
20810,2022-01-01,165.0,147398447,598580
20587,2022-01-01,130.0,137431475,525133
20863,2022-01-01,136.0,124391432,478543
21777,2022-01-01,147.0,117574496,455820
20539,2022-01-01,102.0,75710509,307127
18984,2022-01-01,28.0,26942,220
20828,2022-01-01,142.0,67898723,275475
20215,2022-01-01,97.0,10754640,45360
20484,2022-01-01,84.0,51057582,201654
19984,2022-01-01,42.0,164880,1953
20786,2022-01-01,110.0,48157458,193421
18891,2022-01-01,2.0,1210,11
21422,2022-01-01,133.0,42101042,170787
20470,2022-01-01,113.0,35388421,141914
20050,2022-01-01,104.0,1230238,7781
22373,2022-01-01,93.0,25190305,100738
20210,2022-01-01,107.0,24053615,101320
20748,2022-01-01,104.0,23218083,96582
21742,2022-01-01,1.0,22170373,84108
20580,2022-01-01,77.0,20903211,85095
21821,2022-01-01,94.0,18770340,76126
20212,2022-01-01,93.0,18423169,72540
20635,2022-01-01,151.0,17550325,74275
18983,2022-01-01,20.0,26400,528
22355,2022-01-01,73.0,17123334,69407
20820,2022-01-01,109.0,15259948,65214
22663,2022-01-01,30.0,15257079,60336
18759,2022-01-01,14.0,13060,87
22416,2022-01-01,21.0,13708809,37664
21896,2022-01-01,78.0,13276893,51401
21837,2022-01-01,79.0,12544161,53057
18014,2022-01-01,1.0,0,0
18846,2022-01-01,43.0,42580,289
19955,2022-01-01,80.0,8186436,36424
20403,2022-01-01,95.0,10420223,41801
21582,2022-01-01,109.0,9848144,39374
19688,2022-01-01,98.0,1436873,6796
18925,2022-01-01,41.0,101725,1539
22337,2022-01-01,49.0,9040655,36891
18816,2022-01-01,4.0,3850,35
23155,2022-01-01,32.0,8765220,36580
20582,2022-01-01,93.0,8557235,37412
18866,2022-01-01,13.0,19161,161
19161,2022-01-01,15.0,10560,66
22879,2022-01-01,48.0,8210829,34070
20241,2022-01-01,77.0,7987082,33050
20925,2022-01-01,56.0,7777148,33119
7858,2022-01-01,59.0,674764,2581
20104,2022-01-01,32.0,777013,1652
18958,2022-01-01,14.0,15960,104
18824,2022-01-01,7.0,14680,162
23153,2022-01-01,30.0,7091561,29294
20294,2022-01-01,30.0,6978444,29045
19817,2022-01-01,64.0,122560,1672
23138,2022-01-01,37.0,6387538,26922
20240,2022-01-01,59.0,6357698,26770
19964,2022-01-01,40.0,84525,931
19786,2022-01-01,55.0,196749,1438
21867,2022-01-01,66.0,5393035,22876
22530,2022-01-01,41.0,5355551,20838
19308,2022-01-01,6.0,4310,83
18430,2022-01-01,14.0,19840,124
20137,2022-01-01,74.0,3305591,14663
22195,2022-01-01,94.0,4668546,19952
19919,2022-01-01,48.0,79408,768
22245,2022-01-01,65.0,4388293,18509
20982,2022-01-01,76.0,4246625,19183
22652,2022-01-01,44.0,4218526,17089
19783,2022-01-01,15.0,15002,56
23144,2022-01-01,3.0,4158873,16872
22924,2022-01-01,38.0,3991237,15734
22115,2022-01-01,47.0,3909305,16100
22476,2022-01-01,43.0,3783932,15442
19657,2022-01-01,35.0,45425,559
19539,2022-01-01,57.0,129901,1308
22242,2022-01-01,69.0,3669524,15045
20362,2022-01-01,71.0,3539338,14745
21942,2022-01-01,57.0,3494845,15327
22328,2022-01-01,43.0,3472928,7741
21719,2022-01-01,74.0,3428702,14890
20459,2022-01-01,76.0,2923194,12444
22116,2022-01-01,64.0,2889454,12383
21930,2022-01-01,45.0,2522604,10612
9023,2022-01-01,39.0,1059994,4104
20394,2022-01-01,49.0,2007625,8205
22397,2022-01-01,35.0,1978031,8143
20356,2022-01-01,37.0,1908583,8346
22308,2022-01-01,54.0,1552761,6642
9986,2022-01-01,10.0,141135,626
20770,2022-01-01,56.0,1528691,7103
23321,2022-01-01,5.0,1477019,6248
22222,2022-01-01,35.0,1439492,5018
23084,2022-01-01,27.0,1434575,6106
19659,2022-01-01,80.0,1379097,6170
22651,2022-01-01,26.0,1356110,5702
20659,2022-01-01,15.0,1287057,5698
17499,2022-01-01,1.0,0,0
20660,2022-01-01,77.0,1167839,5447
20235,2022-01-01,49.0,966813,4580
22679,2022-01-01,27.0,921637,4146
20363,2022-01-01,22.0,915242,3989
22963,2022-01-01,31.0,832606,3636
21033,2022-01-01,24.0,825183,3348
20528,2022-01-01,49.0,772839,3425
6252,2022-01-01,25.0,230452,948
23128,2022-01-01,28.0,711344,2972
20554,2022-01-01,18.0,654088,3108
20472,2022-01-01,21.0,636410,2853
18735,2022-01-01,34.0,590773,2414
19690,2022-01-01,20.0,534950,2373
18693,2022-01-01,86.0,521145,3090
19241,2022-01-01,23.0,481770,2144
23286,2022-01-01,18.0,459743,2001
20848,2022-01-01,26.0,428306,1963
20143,2022-01-01,73.0,415119,1833
21306,2022-01-01,24.0,399338,1636
