tmdb_id,tmdb_title,country_name,theater_release,streaming_release
1030587,電影哆啦A夢：大雄與天空的理想鄉,日本,2023-03-03,
1030587,電影哆啦A夢：大雄與天空的理想鄉,韓國,2023-07-08,
1030987,地獄來的乘客,澳洲,2023-08-18,
1030987,地獄來的乘客,台灣,2023-09-15,
1030991,折翼姊妹,台灣,2023-11-03,
1031050,蘇維埃巴士站,台灣,2024-05-24,
1031388,鬼偶,台灣,2023-09-15,
1032330,無邊,台灣,2023-01-06,
1032767,背德迷情,日本,2022-10-29,
1032823,圈套,澳洲,2024-08-01,
1032823,圈套,美國,2024-08-02,2024-08-30
1032823,圈套,法國,2024-08-07,
1032823,圈套,韓國,2024-09-18,
1032823,圈套,日本,2024-10-25,
1033176,愛在滿格時,台灣,2023-09-22,
1034541,劊樂小丑3,法國,2024-10-09,
1034541,劊樂小丑3,澳洲,2024-10-10,
1034541,劊樂小丑3,美國,2024-10-11,2024-11-27
1034541,劊樂小丑3,台灣,2024-10-25,
1034541,劊樂小丑3,日本,2024-11-29,
1034660,黑夜遊行,日本,2022-12-23,
1034660,黑夜遊行,台灣,2023-09-08,
1034660,黑夜遊行,韓國,2024-12-16,
1035647,離不開你的依賴,日本,2023-02-03,
1035647,離不開你的依賴,台灣,2023-04-28,
1035803,俠探特攻：贖罪行動,台灣,2022-12-09,
1035803,俠探特攻：贖罪行動,韓國,2023-09-13,
1035806,俠探特攻：驚爆獨立日,韓國,2023-12-13,
1035872,勸世三姊妹：大銀幕特別版,台灣,2022-05-14,
1036397,成功補習班,台灣,2023-09-22,2024-01-12
1036397,成功補習班,日本,2024-07-26,
1037348,我的幸福婚約,日本,2023-03-17,
1037348,我的幸福婚約,台灣,2023-05-12,
1037348,我的幸福婚約,韓國,2023-10-11,
1037696,太陽與波麗露,日本,2022-06-03,
1038198,NCT DREAM THE MOVIE : In A DREAM,韓國,2022-11-30,
1039769,失序正義,台灣,2022-11-25,
104,蘿拉快跑,法國,1999-04-07,
104,蘿拉快跑,澳洲,1999-06-18,
104,蘿拉快跑,美國,1999-06-18,
1040148,變身少女露比,法國,2023-06-28,
1040148,變身少女露比,台灣,2023-06-30,
1040148,變身少女露比,美國,2023-06-30,2023-07-18
1040148,變身少女露比,韓國,2023-07-25,
1040284,疫起,台灣,2023-04-14,
1040496,明天星期一,日本,2022-10-14,
1040496,明天星期一,台灣,2023-10-10,
1040496,明天星期一,法國,2024-05-08,
1040892,樹懶殺三小,台灣,2023-11-03,
1040892,樹懶殺三小,日本,2024-04-26,
1041613,鬼聖胎,法國,2024-03-20,
1041613,鬼聖胎,澳洲,2024-03-21,2024-04-18
1041613,鬼聖胎,台灣,2024-03-22,
1041613,鬼聖胎,美國,2024-03-22,2024-04-16
1041613,鬼聖胎,韓國,2024-07-17,
10435,卓別林與他的情人,美國,1993-01-08,
10435,卓別林與他的情人,法國,1993-02-17,2016-05-11
10435,卓別林與他的情人,澳洲,1993-02-18,
10435,卓別林與他的情人,日本,1993-04-24,
10435,卓別林與他的情人,韓國,1994-05-14,
1043565,屍蹤天使,台灣,2023-03-10,
1043565,屍蹤天使,韓國,2023-05-31,
1043997,盛夏最溫暖的初戀,法國,2024-11-27,
1044555,完美配對謀殺案,日本,2024-02-23,
1044555,完美配對謀殺案,台灣,2024-06-14,
1045770,噠噠噠達利,法國,2024-02-07,2024-06-18
1046090,周處除三害,台灣,2023-10-06,2024-03-01
