movie_id,id
763285,131
763285,1639847
763285,1222992
763285,39520
763285,39213
760161,77517
760161,12041
760161,58014
760161,60719
760161,2563029
644495,237405
644495,1023139
644495,1158
644495,16940
644495,7499
629542,6807
629542,1231717
629542,1625558
629542,64342
629542,1560244
675445,80602
675445,1227611
675445,3044930
675445,3227497
675445,2717685
800939,1204
800939,1461
800939,481337
800939,1308133
800939,1399531
675353,222121
675353,11006
675353,110742
675353,1212864
675353,17605
593643,1397778
593643,5469
593643,3292
593643,47627
593643,17342
423108,17178
423108,21657
423108,1731961
423108,2485582
423108,2047847
19995,65731
19995,8691
19995,10205
19995,32747
19995,17647
539681,18918
539681,55638
539681,17697
539681,6384
539681,1240487
634528,3896
634528,2419575
634528,26723
634528,589722
634528,2133918
508943,1277188
508943,1774679
508943,2990400
508943,1874693
508943,52792
597208,51329
597208,112
597208,3051
597208,5293
597208,28633
542178,1121
542178,3490
542178,3063
542178,121529
542178,3910
459151,7447
459151,11006
459151,12110
459151,1767250
459151,4785
985939,54633
985939,1279279
985939,47296
985939,2174509
985939,945542
522931,10859
522931,2231
522931,3136
522931,3131
522931,192
653851,1674162
653851,83271
653851,1383349
653851,1218218
653851,221115
823625,3896
823625,2026050
823625,1369329
823625,18992
823625,123724
585216,1353827
585216,116088
585216,1789788
585216,208782
585216,1263515
619778,82809
619778,593202
619778,1622199
619778,536271
619778,62547
676547,1400939
676547,5414
676547,1237405
676547,111658
676547,2693053
756999,2803710
756999,569
756999,1530558
