id,imdb_id,origin_country_first,runtime,budget,revenue
664469,tt10304142,US,134,80000000,31245810
610253,tt10665338,US,105,20000000,133423964
615643,tt10633456,US,115,2000000,12900000
639721,tt11125620,US,93,0,119815153
601635,tt10028196,IN,164,23000000,16000000
585245,tt2397461,US,96,64000000,107347356
619730,tt10731256,US,123,35000000,86700000
818397,tt11827628,US,153,30000000,13900000
616820,tt10665342,US,111,20000000,104374176
716612,tt12536294,GB,116,18000000,14000000
315162,tt3915174,US,103,90000000,484700000
791177,tt10168670,US,130,16000000,15234907
556694,tt9198364,AU,108,60000000,20300000
614939,tt9731598,US,115,22000000,14800000
516329,tt7740510,CA,99,17000000,18867659
617653,tt4244994,US,152,100000000,30552111
766475,tt13640696,GB,99,40000000,21921551
511809,tt3581652,US,156,100000000,76016171
760741,tt13223398,US,92,0,56000000
744,tt0092099,US,110,15000000,356830601
836723,tt14779306,US,85,0,0
830788,tt12873562,US,105,10000000,33628000
520023,tt8110652,US,94,3000000,13900000
62,tt0062622,US,141,12000000,71923560
38,tt0338013,US,108,20000000,72258126
717728,tt14121726,US,88,5000000,6175213
661231,tt1879016,GB,128,0,0
366672,tt4428398,US,98,45000000,42500000
694,tt0081505,US,119,19000000,44781695
628900,tt10323676,US,103,0,2122288
696157,tt12193804,US,144,50000000,59800000
837881,tt11198810,US,129,32000000,13900000
9746,tt0119485,US,134,28000000,5684789
842942,tt9853500,CA,126,0,0
764835,tt13133936,US,84,0,0
536396,tt8717446,US,97,0,0
777270,tt12789558,GB,98,11000000,49158343
603661,tt8718158,US,102,0,0
888195,tt15690300,US,99,0,0
825808,tt11209212,CA,92,0,55191
979924,tt14824590,US,104,0,0
836225,tt10362566,US,98,1500000,0
626735,tt11252248,US,101,20000000,84774243
75233,tt1736633,NO,94,0,1481665
1024546,tt21435436,US,105,0,95244
826749,tt14577300,US,100,20000000,52169
718949,tt10957044,US,96,0,0
600,tt0093058,US,116,30000000,46357676
760873,tt6506264,DE,104,0,328914
733317,tt6456326,AU,132,1900000,0
649394,tt8009744,US,118,0,106645
1035803,tt22394694,US,93,0,192939
628878,tt4029412,US,100,0,0
655917,tt9421200,DE,89,0,0
345,tt0120663,GB,159,65000000,162100000
423333,tt11389748,US,111,0,131357
762433,tt13432484,US,85,0,0
818192,tt11388416,US,111,12400000,0
864116,tt14412366,US,101,98616,0
907,tt0059113,US,200,11000000,111858363
689700,tt10023022,US,93,0,0
59468,tt1441912,US,128,0,13900000
801271,tt7975192,US,84,0,0
848123,tt13918550,AU,99,0,0
628914,tt9054192,US,110,7000000,0
730047,tt12889404,CA,122,20000000,3000000
641960,tt10344522,US,100,0,843965
844398,tt14923008,DE,92,0,0
9769,tt0119558,US,153,62000000,1100000
916821,tt14174168,US,97,0,0
766907,tt13496236,CA,91,0,0
641668,tt11188624,GB,92,0,0
821427,tt11131464,CA,94,0,24322
763164,tt13265876,US,108,0,0
331986,tt3294746,US,122,0,0
789171,tt13889602,US,98,0,0
830784,tt14668630,US,106,50000000,104088441
883502,tt14577304,US,87,22000000,69075
634,tt0243155,GB,100,25000000,281929795
10802,tt0114436,US,131,45000000,20350754
850099,tt4940336,AU,109,0,0
12155,tt1014759,US,110,200000000,1025467110
811592,tt14199590,US,97,0,29439
896689,tt10968602,US,89,0,0
577721,tt5629084,CA,45,0,0
925,tt0097216,US,120,6500000,37300000
1306218,None,CN,29,0,0
913820,tt10984580,BO,88,0,52793
11902,tt0114787,YU,170,14000000,0
575088,tt8006374,RU,96,0,1398488
659384,tt12036270,RU,77,0,0
579831,tt12216986,RU,130,0,0
597859,tt14303882,RU,105,0,0
575072,tt10933000,RU,90,0,0
818621,tt13322726,RU,125,0,0
818415,tt15815090,RU,110,0,0
589761,tt10648714,RU,136,9100000,6459306
1396,tt0072443,SU,106,825000,124367
1398,tt0079944,SU,162,120000,0
987424,None,TW,102,0,0
477462,tt12390572,FI,109,2620000,492000
655302,tt11636880,FI,115,8476000,0
683363,tt13328800,FI,100,1800000,0
517302,tt12519030,FI,91,3896000,508000
608232,tt11007444,FI,116,4243000,0
716855,tt13328824,FI,82,400000,0
881764,tt11871074,PL,136,0,0
845875,tt11369540,PL,91,0,43663
24858,tt0156794,GR,133,0,0
531428,tt8613070,FR,121,5740000,9923127
746333,tt13774454,FR,82,0,7375119
617762,tt10687506,GB,111,0,0
663260,tt10341034,FR,130,10722240,9738741
630240,tt10944760,FR,108,6600000,4982335
793998,tt13880104,FR,100,0,171765
108,tt0108394,FR,98,0,1527572
955569,tt19783626,FR,87,2400000,0
110,tt0111495,FR,100,0,4127033
109,tt0111507,FR,92,0,1273525
809488,tt12998510,FR,81,0,0
892527,tt14073780,BE,105,0,2551835
749004,tt13204490,FR,72,3100000,1024575
757999,tt13553662,FR,92,0,3358402
827887,tt11906086,FR,90,0,0
655082,tt10366514,FR,108,26000000,13000000
601188,tt10088984,FR,107,0,0
852438,tt14317880,FR,110,4300000,2046233
719463,tt11610804,FR,96,0,0
895659,tt13846402,FR,111,4300000,1512938
826218,tt13241688,ES,110,0,0
477044,tt6910282,FR,113,0,589895
660000,tt10505316,FR,149,20800000,8600000
735726,tt12847812,FR,113,0,0
833417,tt13269580,FR,87,3000000,42566
477018,tt6270534,FR,105,0,0
750253,tt13234058,DE,95,0,962689
754067,tt10945274,FR,84,6500000,4181043
712134,tt12444426,FR,73,0,0
762079,tt12496706,BE,104,0,456555
1600,tt0101765,FR,98,0,1999955
778810,tt8354218,FR,92,0,0
833428,tt14039392,FR,90,0,0
485162,tt7555774,FR,105,0,0
147,tt0053198,FR,99,0,0
695089,tt9844938,BE,167,4700000,0
10452,tt0110963,FR,138,0,1318578
774343,tt13613056,FR,105,0,0
914203,tt18317064,BE,88,0,575385
269,tt0053472,FR,90,0,0
659988,tt11310670,FR,102,0,0
526811,tt10023172,FR,99,0,75167
712128,tt11105790,US,106,0,0
1628,tt0055032,FR,106,0,0
712178,tt12444424,FR,97,0,0
660955,tt11006570,FR,86,0,0
152584,tt2278871,FR,180,4300000,19465835
1716,tt0080610,FR,131,0,0
582881,tt7534102,FR,81,0,0
757341,tt13353386,FR,91,5000000,1085112
809733,tt14371818,FR,93,0,0
747779,tt13482828,FR,113,0,1380392
781453,tt13142240,FR,98,0,41356
664506,tt15115102,FR,96,4900000,0
8072,tt0058898,FR,99,220000,46585
736500,tt12847680,FR,97,0,0
845140,tt14280366,FR,97,0,3285760
1626,tt0056663,FR,84,64000,24517
4710,tt0060675,FR,105,0,0
594691,tt9800670,FR,102,0,0
810677,tt14429000,FR,95,0,0
11298,tt0082533,US,91,1000000,17985893
749107,tt10376800,FR,86,0,0
589985,tt10533078,FR,100,0,0
582886,tt9431080,FR,89,4360174,0
47792,tt0088241,GB,139,0,0
51735,tt0765442,GR,128,0,0
179890,tt0445528,HK,96,0,0
47795,tt0096288,GR,125,0,0
764810,tt13317230,GR,100,0,0
766798,tt12618926,ES,123,0,23099858
755437,tt12443220,ES,103,0,0
668640,tt11700260,ES,114,0,0
542917,tt8393332,ES,110,0,0
954748,tt15341168,ES,109,0,0
768726,tt11777920,IN,89,0,0
946706,tt11797376,ES,100,0,0
772148,tt12500804,MX,104,0,0
4203,tt0095675,ES,88,700000,14979298
4043,tt0093412,ES,102,600000,1400000
496331,tt6277462,IN,168,22000000,0
786064,tt13299890,IN,100,888514,0
821494,tt9681686,IN,110,2000000,0
925786,tt16915972,ID,119,900000,5909528
859933,tt15215918,ID,103,0,0
655363,tt9834506,HU,115,0,0
574078,tt8205028,HU,170,10000000,0
792775,tt13882736,IS,100,0,0
49964,tt0093342,IR,83,0,0
30020,tt0120265,IR,99,0,0
47104,tt0111845,IR,103,0,0
83761,tt0105888,IR,95,0,0
672208,tt11777738,IR,127,0,0
43423,tt0209463,IR,118,0,0
669401,tt11773484,IR,105,0,0
888602,tt10514056,CA,108,0,0
519141,tt8767908,CA,119,0,0
819876,tt14549466,CA,107,27000000,4551565
554761,tt9143112,CA,112,0,9828
740963,tt9204898,CA,90,0,0
522406,tt8372094,CA,97,0,26747
778855,tt12532368,BE,91,20000000,0
635302,tt11032374,JP,117,15700000,507119058
810693,tt14331144,JP,104,0,195870885
955666,tt16410438,JP,100,0,20617005
553600,tt9116358,JP,111,0,9869306
795564,tt13642590,JP,104,2550000,0
876792,tt15467380,JP,108,0,11426555
876797,tt16444750,JP,124,0,22500000
129,tt0245429,JP,125,19000000,274925095
877840,tt15409816,JP,65,0,0
8392,tt0096283,JP,86,3700000,41000000
916192,tt17382524,JP,83,0,872000
610150,tt14614892,JP,99,0,86600000
782054,tt13740078,JP,108,0,22044058
758866,tt14039582,JP,179,1300000,15356046
10515,tt0092067,JP,125,3000000,5228752
566466,tt14364238,JP,121,0,7283918
820067,tt15721650,JP,136,0,17288993
977871,tt21115444,JP,121,0,0
956564,tt21608894,JP,130,0,0
829920,tt12007484,JP,94,0,0
925492,None,JP,81,0,0
820530,tt14489118,JP,78,0,0
795811,tt14034966,JP,121,0,1548033
824202,tt13582738,JP,129,0,0
783675,tt15242330,JP,125,0,258000000
642538,tt10540510,JP,99,0,897000
824362,tt14865506,JP,120,0,0
741335,tt13064272,JP,108,0,0
808667,tt14118266,JP,125,0,12571501
983866,tt15327548,JP,121,0,0
896499,tt15799550,JP,88,0,434280
854006,tt15458866,JP,115,0,2782770
698215,tt10787472,JP,129,0,0
978039,None,JP,73,0,0
695932,tt11219254,JP,124,0,0
966709,tt15715792,JP,67,0,0
1081641,None,JP,0,0,0
1081640,None,JP,0,0,0
899743,tt13167612,JP,96,0,0
874476,tt15482370,JP,124,0,0
264718,tt0488103,CN,91,0,0
853731,tt14605210,JP,137,0,0
726894,tt11487698,JP,148,0,0
930432,tt17008472,JP,127,0,0
120811,tt1909796,JP,110,0,21434003
915295,tt15034594,JP,142,0,0
794719,tt14423692,JP,134,0,0
959439,tt21235352,JP,82,0,0
76826,tt0491652,JP,148,0,0
633844,tt11417856,JP,113,0,0
792678,tt13975458,JP,108,0,0
781816,tt13758684,JP,97,0,0
514880,tt9810090,JP,106,0,0
846993,tt14967958,JP,95,0,0
996499,tt19850394,JP,97,0,0
798544,tt15052770,JP,40,0,0
901410,tt16233104,JP,110,0,0
853821,tt14311250,JP,111,0,0
996666,tt15469504,JP,118,0,1770794
912632,tt15400628,JP,117,0,0
958487,tt19719904,JP,113,0,0
487850,tt7112154,JP,119,0,0
831920,tt16245968,JP,115,0,0
1037696,None,JP,133,0,0
844225,tt14153324,JP,118,0,0
938133,tt17510216,JP,103,0,0
3176,tt0266308,JP,113,4500000,30600000
963131,tt20413256,JP,118,0,0
42095,tt0089746,JP,124,0,0
11830,tt0092048,JP,115,1500000,0
749927,tt15181216,JP,120,0,0
863857,tt15102828,JP,107,0,0
849786,tt15150608,JP,150,0,0
354759,tt4780662,JP,317,0,0
464768,tt6848928,JP,101,0,0
77248,tt1305678,JP,81,0,0
1015361,None,JP,120,0,0
804593,tt14215690,US,5,0,0
956450,tt18750342,JP,113,0,0
354759,tt4780662,JP,317,0,0
742396,tt13017168,JP,119,0,1084503
958017,tt21649884,JP,100,0,0
735409,tt11252688,JP,119,0,0
927594,tt18235306,FR,123,0,1782
987573,tt21627390,JP,118,0,0
794721,tt19632774,JP,139,0,0
961266,tt21816922,JP,107,0,0
756198,tt13345102,JP,121,0,0
149871,tt2576852,JP,137,49300000,24366656
810587,tt14786640,JP,119,0,0
15080,tt0102587,JP,118,0,473110
848298,tt15215468,JP,128,0,0
961381,tt19845370,JP,119,0,0
760758,tt13404868,JP,105,0,0
15283,tt0110008,JP,119,0,0
847335,tt15442580,JP,92,0,0
46361,tt1077089,JP,136,0,0
809695,tt11773748,JP,81,0,0
952438,tt18952724,JP,139,0,0
954094,tt18096416,JP,95,0,0
744714,tt11679950,JP,113,0,0
461078,tt7283052,JP,94,0,3891
960312,tt21439866,JP,110,0,0
54186,tt1590089,JP,107,0,45203103
993782,tt27811244,JP,111,0,0
810674,tt14820290,JP,108,0,0
859798,tt18566518,JP,105,0,0
890326,None,JP,114,0,0
93013,tt2113091,JP,99,0,0
16198,tt0206013,JP,104,0,0
130023,tt1677603,JP,142,0,0
845611,tt14941348,JP,129,0,0
995387,tt22775702,JP,97,0,0
1011873,None,JP,85,0,0
112903,tt0498587,JP,137,0,0
18148,tt0046438,JP,137,0,0
1003706,tt23555720,JP,82,0,0
146126,tt0788086,TW,122,0,0
782648,tt11897340,EG,91,0,0
598,tt0317248,BR,135,3300000,30641770
680813,tt8430054,DK,89,3400000,712229
783740,tt15456878,TW,128,0,0
864370,tt18968540,TW,111,0,5700000
793392,tt15448352,TW,113,0,0
839294,tt17292614,TW,119,0,0
601434,tt10346206,TW,112,0,0
1005555,tt22498834,TW,111,0,0
852355,tt15119668,TW,129,0,0
943737,None,TW,119,0,0
931894,tt21618732,TW,79,0,0
918035,tt21404042,TW,103,0,0
804725,tt24786154,TW,107,0,62655572
925725,tt16077426,TW,103,0,0
878987,tt15620158,TW,101,0,0
1007962,tt22463402,TW,120,0,0
917717,tt16738372,TW,89,0,0
1025086,tt22757470,TW,0,0,0
975812,tt22370990,TW,111,0,0
205464,tt0105382,TW,110,0,0
876648,tt21936550,TW,114,0,0
957112,tt22497950,TW,108,0,0
933785,tt14401290,TW,98,0,0
846517,tt15677260,TW,94,0,0
764425,tt12194516,TW,108,0,0
1006694,tt22398358,TW,136,0,0
937356,tt19609954,TW,90,0,0
899460,tt22335454,TW,135,0,0
796155,tt15138308,TW,128,0,0
880156,tt15742308,TW,114,0,0
232468,tt0223391,TW,80,0,0
942953,None,TW,106,0,0
769802,tt13298522,TW,124,0,0
975575,tt21881700,TW,97,0,0
860887,tt15445340,TW,103,0,0
984997,None,TW,91,0,0
1005979,tt29060486,TW,142,0,0
987422,tt15677210,TW,122,0,0
931885,tt17336922,CN,114,0,0
890538,tt15743140,TW,98,0,0
740823,tt13217182,TW,95,0,0
946267,tt13370724,TW,77,0,0
939287,None,TW,0,0,0
767246,tt13236576,TW,91,0,0
891566,None,CN,100,0,0
936286,tt18317338,TW,118,0,0
1026182,None,TW,95,0,0
1017006,None,TW,143,0,0
927480,None,TW,75,0,0
810020,tt11319188,TW,103,0,0
899387,tt15743072,TW,93,0,0
829584,tt15446628,TW,148,0,0
868682,tt12205628,TW,107,0,0
893252,tt15096446,TW,109,0,0
985569,None,TW,93,0,0
960450,None,TW,88,0,0
660001,tt10639214,US,98,0,0
816752,tt13298600,TW,114,0,0
1003994,tt13878178,TW,0,0,0
874781,None,TW,105,0,0
302528,tt3704050,CA,94,0,1986615
877246,tt15488160,TW,85,0,0
900843,None,TW,84,0,0
1026182,None,TW,95,0,0
1009987,None,TW,21,0,0
814174,tt14071634,TW,98,0,0
1153451,None,TW,20,0,0
1009977,None,TW,21,0,0
1025309,None,TW,17,0,0
1009995,None,TW,20,0,0
1050665,None,TW,98,0,0
1200506,None,TW,1,0,0
24614,tt0347996,TW,90,0,0
27101,tt0420627,TW,93,0,0
975681,None,TW,30,0,0
1032330,None,TW,60,0,0
1039769,tt19876798,TW,76,0,0
137686,tt2567390,TW,90,0,0
1035872,None,TW,92,0,0
798092,tt12867672,TW,80,0,0
741329,tt22476934,TW,77,0,0
900062,tt15740800,TW,79,0,0
939939,tt21228760,TW,181,0,0
375281,,CN,106,0,0
316569,tt0176331,TW,90,0,0
74107,tt0088645,US,94,0,0
484574,tt0243132,TW,82,0,0
278445,tt0243494,TW,73,0,0
256133,tt0092231,TW,119,0,0
262831,tt0490518,TW,148,0,0
356701,tt4814380,TW,126,0,0
262828,tt0116558,TW,168,0,0
660002,tt10415576,CN,144,0,0
27062,tt0292066,HK,86,0,0
758891,tt13364790,CN,128,59000000,822049668
497834,tt8499638,CN,127,0,0
712164,tt11090178,CN,134,0,0
638032,tt10670442,CN,135,0,0
827689,tt14509614,CN,129,0,85365990
537867,tt8747304,CN,118,0,0
923192,tt16254308,CN,109,0,393014816
903125,tt17005404,CN,0,0,72760000
627087,tt10189300,BT,109,0,0
499556,tt8020896,CN,234,2500000,0
436792,tt6419442,CN,0,0,0
919570,tt18550182,RO,127,0,450255
496243,tt6751668,KR,132,11363000,257591776
955555,tt21364552,KR,105,0,83410298
729854,tt13086266,KR,130,0,28900000
1063453,tt24807190,KR,103,0,29291883
844386,tt22505124,KR,80,0,2305305
1057001,tt27534328,KR,117,0,0
753091,tt27688034,KR,129,20000000,92718
1148154,None,KR,112,0,0
606400,tt21111120,KR,108,0,13325763
919207,tt22507524,KR,142,0,0
581395,tt27795356,KR,132,0,0
1137172,tt28230511,KR,124,0,0
813079,tt22507484,KR,101,0,0
617882,tt13086130,KR,124,0,2471778
1052433,tt29031019,KR,119,0,0
977155,tt26679073,KR,87,23316420,0
1168166,tt28995831,KR,117,0,0
581394,tt11692284,KR,108,0,0
1357982,None,NL,17,0,0
1028684,tt27502351,KR,123,0,0
166271,tt2345567,CA,97,0,0
783110,tt28106766,KR,129,0,0
941045,tt29259250,KR,0,0,0
987540,tt29031126,KR,85,0,0
656156,tt21387514,KR,99,0,0
957154,tt20039176,KR,122,0,0
714651,tt22298582,KR,124,0,0
848198,tt24670346,KR,123,0,0
964592,tt8209702,KR,95,0,11033636
848145,None,CN,5,0,0
