movie_id,id
661231,18844
366672,18898
366672,173394
366672,1535020
694,240
628900,119293
696157,51864
837881,22686
9746,1032
842942,1297488
764835,13015
536396,7017
777270,11181
603661,232002
888195,1211636
825808,1052055
979924,1564258
836225,1190581
626735,38673
626735,1074867
75233,71609
1024546,2613318
826749,1211636
718949,583932
600,240
760873,568692
733317,2742953
649394,1279519
1035803,2613318
628878,20193
655917,582255
345,240
423333,51533
762433,39104
818192,1504645
864116,1374429
907,12238
689700,87494
59468,2880
801271,59231
848123,2410737
628914,95573
628914,95575
730047,36588
641960,77162
844398,88084
9769,7270
916821,2613318
766907,2613318
641668,83858
821427,1437193
763164,2613318
331986,2880
789171,1480711
830784,60922
830784,60923
883502,139558
634,9158
10802,10491
850099,1409624
12155,510
811592,1088096
896689,1332321
577721,1178371
925,5281
1306218,4782087
913820,3342366
11902,15254
575088,1311031
659384,1695602
579831,230445
597859,230715
575072,1992194
818621,1204066
818621,1204065
818415,1491551
589761,562730
1396,8452
1398,8452
477462,1168608
655302,87322
683363,1064049
517302,2020204
608232,124856
716855,1044881
881764,1107609
845875,2055172
24858,10316
531428,68813
746333,1186076
617762,939337
663260,225407
630240,1392433
793998,1017274
108,1126
955569,108552
110,1126
109,1126
809488,32226
892527,56735
749004,68813
757999,2832609
757999,41029
827887,2830542
655082,1422940
601188,81118
852438,67717
719463,1366957
895659,931581
826218,79002
477044,222686
660000,113855
735726,4387
833417,1721013
477018,1105712
750253,70221
754067,1366309
712134,2664731
762079,145678
1600,1126
778810,1777884
778810,142982
833428,239637
485162,7288
147,1650
695089,1175622
10452,23724
774343,38883
914203,56209
914203,45138
269,3776
659988,1364039
526811,1035304
712128,1713223
1628,1650
712178,1846754
712178,2195612
660955,1171420
152584,17458
1716,1650
582881,54675
582881,2244653
757341,35530
809733,77131
747779,222686
781453,1784936
664506,7288
8072,3776
736500,113610
845140,1402420
1626,3776
4710,3776
594691,24485
810677,1494070
11298,4600
749107,445843
589985,114953
582886,19937
47792,10316
51735,10316
179890,239542
