person_id,gender_id,person_name,person_original_name,known_for_department,data_created_time,data_updated_time
554421,1,Tamao Hayashi,林玉緒,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
17901,1,Chantal Neuwirth,Chantal Neuwirth,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
97193,1,Eva Holubová,Eva Holubová,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
1582100,1,Ha Yee-Chau,Ha Yee-Chau,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
3004070,1,Saku Mizuno,水野朔,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
28079,1,Alisa Freyndlikh,Алиса Фрейндлих,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
1110405,1,Mackenzie Davis,Mackenzie Davis,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
210824,1,Kristen Connolly,Kristen Connolly,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
78329,1,Lorraine Ashbourne,Lorraine Ashbourne,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
1354,1,Frédérique Feder,Frédérique Feder,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
553082,1,Tomoko Hoshino,星野知子,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
2598,1,Sophie Okonedo,Sophie Okonedo,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
45827,1,Ashley Greene,Ashley Greene,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
3289678,1,Baek Ji-hye,백지혜,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
2496534,1,Philippine Velge,Philippine Velge,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
400,1,Geraldine Chaplin,Geraldine Chaplin,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
4031156,1,Tresi Gazal,Tresi Gazal,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
8944,1,Jamie Lee Curtis,Jamie Lee Curtis,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
1743949,1,Bruna Cusí,Bruna Cusí,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
144763,1,Nina Meurisse,Nina Meurisse,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
1279571,1,Jennis Oprasert,เจนนิษฐ์ โอ่ประเสริฐ,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
4815163,1,Torfan Taweema,ทอฝัน ทวีมา,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
17743,1,Miranda Cosgrove,Miranda Cosgrove,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
651,1,Louise Lemoine Torrès,Louise Lemoine Torrès,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
142673,1,Eri Tokunaga,徳永えり,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
1813472,1,Vivien Lyra Blair,Vivien Lyra Blair,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
2425167,1,Verity Marks,Verity Marks,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
2864457,1,Jang Ye-eun,Jang Ye-eun,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
530025,1,Willow Shields,Willow Shields,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
