tmdb_id,release_country_code,type_release_date,release_type_id,release_country_name,release_type_note,data_created_time,data_updated_time
927547,AT,2024-10-21,1,奧地利,Viennale - Vienna International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
1053600,AT,2023-04-26,1,奧地利,Crossing Europe Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
586813,AT,2021-08-23,1,奧地利,,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
1088514,AT,2024-10-18,1,奧地利,Viennale - Vienna International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
1244492,AT,2024-10-06,1,奧地利,Japannual Japanese Film Festival Vienna,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
584242,AT,2019-10-28,1,奧地利,Vienna International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
17111,AT,2005-10-16,1,奧地利,Vienna International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
791177,AT,2022-10-28,1,奧地利,Vienna International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
549509,AT,2024-10-23,1,奧地利,Vienna International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
1244244,AT,2024-10-22,1,奧地利,Viennale - Vienna International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
1019939,AT,2023-09-30,1,奧地利,SLASH Filmfestival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
643532,AT,2021-10-22,1,奧地利,Viennale,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
964592,AT,2024-09-24,1,奧地利,SLASH Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
749136,AT,2022-10-22,1,奧地利,Vienna International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
1064213,AT,2024-10-19,1,奧地利,Vienna International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
965150,AT,2022-10-21,1,奧地利,Vienna International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
1101256,AT,2024-10-29,1,奧地利,Viennale - Vienna International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
1146410,AT,2024-10-22,1,奧地利,Viennale,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
580175,AU,2020-10-15,1,澳洲,Adelaide Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
971699,AU,2024-04-18,1,澳洲,Geelong Pride Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
1088514,AU,2024-12-04,1,澳洲,"Sydney, New South Wales",2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
643532,AU,2021-11-03,1,澳洲,Sydney Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
623184,AU,2020-08-06,1,澳洲,Melbourne International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
705996,AU,2022-08-21,1,澳洲,Korean Film Festival In Australia,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
812037,AU,2023-08-03,1,澳洲,Melbourne International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
1208994,AU,2024-08-13,1,澳洲,Melbourne International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
823219,AU,2024-10-27,1,澳洲,Adelaide Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
680813,AU,2021-08-14,1,澳洲,Melbourne International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
12444,AU,2010-11-13,1,澳洲,Gold Coast,2025-03-02 09:35:05.830890+00:00,2025-03-02 09:35:05.830890+00:00
937287,AU,2024-03-26,1,澳洲,"Sydney, New South Wales",2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
398818,AU,2018-01-16,1,澳洲,Geelong Pride Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
772148,AU,2022-04-22,1,澳洲,Spanish Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
788977,AU,2022-08-05,1,澳洲,Melbourne International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
1088514,AU,2024-11-02,1,澳洲,Adelaide Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
958179,AU,2024-03-06,1,澳洲,French Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
1034541,AU,2024-10-05,1,澳洲,Monster Fest,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
1088514,AU,2024-11-01,1,澳洲,Brisbane International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
1214499,AU,2024-08-13,1,澳洲,Melbourne International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
612491,AU,2022-09-13,1,澳洲,Italian Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
963765,AU,2023-08-03,1,澳洲,Melbourne International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
1117609,AU,2024-08-13,1,澳洲,Melbourne International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
915935,AU,2023-08-05,1,澳洲,Melbourne International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
762509,AU,2024-12-17,1,澳洲,"Sydney, New South Wales",2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
1008043,AU,2023-08-03,1,澳洲,Melbourne International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
1052433,AU,2024-08-25,1,澳洲,Korean Film Festival in Australia,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
696047,AU,2024-08-26,1,澳洲,Korean Film Festival in Australia,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
974521,AU,2023-08-03,1,澳洲,Melbourne Internaitonal Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
730256,AU,2024-06-06,1,澳洲,Sydney Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
454527,AU,2022-03-02,1,澳洲,Mardi Gras Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
755437,AU,2022-04-20,1,澳洲,Spanish Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
835975,AU,2021-11-27,1,澳洲,Melbourne Queer Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
927547,AU,2024-06-13,1,澳洲,Sydney Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
901563,AU,2022-10-29,1,澳洲,Brisbane Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
1008042,AU,2022-10-30,1,澳洲,Adelaide Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
614917,AU,2021-11-03,1,澳洲,Sydney Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
1146410,AU,2024-08-18,1,澳洲,Melbourne International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
871530,AU,2022-05-26,1,澳洲,German Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
1006024,AU,2024-02-17,1,澳洲,Mardi Gras Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
965150,AU,2022-10-22,1,澳洲,Adelaide Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
957996,AU,2023-08-03,1,澳洲,Melbourne International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
824738,AU,2021-08-13,1,澳洲,Melbourne International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
795815,AU,2021-08-07,1,澳洲,Melbourne International Film Festival (Virtual),2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
809733,AU,2022-03-02,1,澳洲,French Film Festival ,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
1008409,AU,2024-06-06,1,澳洲,Sydney Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
1214499,AU,2024-06-06,1,澳洲,Sydney Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
1154154,AU,2024-10-14,1,澳洲,SXSW Sydney,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
669401,AU,2021-08-13,1,澳洲,Melbourne International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
872585,AU,2023-07-16,1,澳洲,Piston Cup Special Screening,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
747779,AU,2022-08-07,1,澳洲,Melbourne International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
809695,AU,2021-08-15,1,澳洲,Melbourne International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
797838,AU,2022-02-19,1,澳洲,Mardi Gras Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
837335,AU,2023-08-03,1,澳洲,Melbourne International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
666277,AU,2023-08-03,1,澳洲,Melbourne International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
1157680,AU,2024-11-16,1,澳洲,Melbourne Queer Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
976893,AU,2023-08-03,1,澳洲,Melbourne Internaitonal Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
354759,AU,2016-07-30,1,澳洲,Melbourne International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
661231,AU,2021-11-05,1,澳洲,British Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
1064213,AU,2024-10-25,1,澳洲,Brisbane International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
747779,AU,2022-06-16,1,澳洲,Sydney Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
741329,AU,2023-07-21,1,澳洲,Taiwan Film Festival in Australia,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
497828,AU,2022-10-20,1,澳洲,Adelaide Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
1002470,AU,2023-08-03,1,澳洲,Melbourne International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
740963,AU,2021-11-23,1,澳洲,Melbourne Queer Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
839369,AU,2023-06-15,1,澳洲,Sydney Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
901563,AU,2022-10-21,1,澳洲,Adelaide Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
198375,AU,2013-04-28,1,澳洲,Gold Coast Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
912520,AU,2024-03-05,1,澳洲,Alliance Française French Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
1050035,AU,2023-11-03,1,澳洲,Melbourne Queer Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
835975,AU,2022-02-27,1,澳洲,Mardi Gras Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
956288,AU,2023-07-21,1,澳洲,Taiwan Film Festival in Australia,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
963765,AU,2024-04-24,1,澳洲,Geelong Pride Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
1075175,AU,2023-08-14,1,澳洲,Melbourne International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
1219522,AU,2024-07-05,1,澳洲,Revelation Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
497828,AU,2022-08-05,1,澳洲,Melbourne International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
1026227,AU,2024-09-19,1,澳洲,Italian Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
496243,AU,2019-06-15,1,澳洲,Sydney Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
1101256,AU,2024-08-10,1,澳洲,Melbourne International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
803688,AU,2024-03-06,1,澳洲,French Film Festival ,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
1165466,AU,2024-08-17,1,澳洲,Melbourne International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
937356,AU,2023-07-22,1,澳洲,Taiwan Film Festival in Australia,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
839369,AU,2023-08-03,1,澳洲,Melbourne International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
876189,AU,2022-02-24,1,澳洲,Mardi Gras Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
672208,AU,2021-08-16,1,澳洲,Melbourne International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
549509,AU,2024-10-26,1,澳洲,Adelaide Film Festival / Brisbane International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
901563,AU,2022-08-10,1,澳洲,Melbourne International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
517815,AU,2021-08-07,1,澳洲,Melbourne International Film Festival (Virtual),2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
898673,AU,2023-08-05,1,澳洲,Melbourne International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
850099,AU,2021-11-04,1,澳洲,Australian Premiere; Sydney Science Fiction Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
511819,AU,2021-10-31,1,澳洲,Brisbane International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
835975,AU,2021-08-13,1,澳洲,Melbourne International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
837335,AU,2023-09-20,1,澳洲,Italian Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
976893,AU,2023-06-12,1,澳洲,Sydney Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
821494,AU,2021-11-05,1,澳洲,Sydney Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
758866,AU,2021-08-11,1,澳洲,Melbourne International Film Festival (Virtual),2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
1006724,AU,2024-10-14,1,澳洲,SXSW Sydney,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
889737,AU,2024-09-30,1,澳洲,,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
1274238,AU,2024-11-15,1,澳洲,British Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
