Year,MovieId,Name,id,imdb_id,runtime,budget,revenue,production_country,tw_first_release_date
2022,22245,別擔心親愛的,619730,tt10731256,123,35000000,86700000,美國,2022-09-16
2022,20982,記憶殺神,818397,tt11827628,153,30000000,13900000,美國,2022-04-29
2022,22652,月光光新慌慌：萬聖結,616820,tt10665342,111,20000000,104374176,美國,2022-10-14
2022,19783,史賓賽,716612,tt12536294,116,18000000,14000000,美國,2021-11-05
2022,23144,鞋貓劍客 2,315162,tt3915174,103,90000000,484700000,美國,2022-09-23
2022,22924,骨肉的總和,791177,tt10168670,130,16000000,15234907,美國,2022-11-24
2022,22115,三千年的渴望,556694,tt9198364,108,60000000,20300000,美國,2022-09-02
2022,22476,哥兒們,614939,tt9731598,115,22000000,14800000,美國,2022-10-19
2022,19657,鹿魔,516329,tt7740510,99,17000000,18867659,美國,2021-11-12
2022,19539,最後的決鬥,617653,tt4244994,152,100000000,30552111,美國,2021-10-15
2022,22242,看你往哪跑,766475,tt13640696,99,40000000,21921551,美國,2022-09-16
2022,20362,西城故事,511809,tt3581652,156,100000000,76016171,美國,2022-01-21
2022,21942,獸,760741,tt13223398,92,0,56000000,美國,2022-08-19
2022,22328,捍衛戰士,744,tt0092099,110,15000000,356830601,美國,2022-09-18
2022,21719,喜悅：達賴喇嘛遇見屠圖主教,836723,tt14779306,85,0,0,美國,2022-07-22
2022,22116,世紀婚魘,830788,tt12873562,105,10000000,33628000,美國,2022-09-02
2022,21930,天黑請斃命,520023,tt8110652,94,3000000,13900000,美國,2022-08-19
2022,9023,2001太空漫遊,62,tt0062622,141,12000000,71923560,美國,2018-06-04
2022,20394,王牌冤家,38,tt0338013,108,20000000,72258126,美國,2022-02-11
2022,22397,毛骨悚然：惡魔重生,717728,tt14121726,88,5000000,6175213,美國,2022-09-23
2022,20356,死間行動,661231,tt1879016,128,0,0,美國,2022-04-29
2022,22308,刀鋒劍客(英語版),366672,tt4428398,98,45000000,42500000,美國,2022-09-30
2022,9986,鬼店,694,tt0081505,119,19000000,44781695,美國,2018-09-28
2022,20770,救命緝約,628900,tt10323676,103,0,2122288,美國,2022-03-25
2022,23321,與你共舞,696157,tt12193804,144,50000000,59800000,美國,2022-12-30
2022,23084,她有話要說,837881,tt11198810,129,32000000,13900000,美國,2022-11-18
2022,19659,達賴的一生,9746,tt0119485,134,28000000,5684789,美國,2022-07-08
